브랜드,SKU ID,SKU 명,등록가,pid,iid,vid,url,플래그,메모
아리코,1903408,무지개 종볼 5입 1호(6cm),5620,,,,https://www.coupang.com/vp/products/2185029?itemId=9962234&vendorItemId=3014551256,,
아리코,1933305,아리코 펜 공구함 type1 20 x 13.5 x 4cm 2입,7290,,,,https://www.coupang.com/vp/products/2277301?itemId=10408812&vendorItemId=3015388102&isAddedCart=,,
아리코,3047480,실리콘펫식기매트_그레이,3050,,,,https://www.coupang.com/vp/products/18556906?itemId=74543563&vendorItemId=3123499934&isAddedCart=,,
아리코,3104117,수압상승 파워 샤워헤드 A형 1개,4190,,,,https://www.coupang.com/vp/products/21407574?itemId=83667293&vendorItemId=3142454403&isAddedCart=,,
아리코,3104141,Pack_곰팡이 방지 방수 테이프_화이트 2개,1750,,,,https://www.coupang.com/vp/products/5158634150?itemId=7098299062&vendorItemId=3142457949&isAddedCart=,,
아리코,14749910,곰팡이 방지 방수 테이프 화이트 4개,3060,,,,https://www.coupang.com/vp/products/5158634150?itemId=7098360734&vendorItemId=74134939808&isAddedCart=,,
아리코,3142776,주방 스테인레스 스틸 행주걸이 랙 23cm,1900,,,,https://www.coupang.com/vp/products/22883320?itemId=88851478&vendorItemId=3153253314&isAddedCart=,,
아리코,3142777,주방 스테인레스 스틸 행주걸이 랙 36cm,1990,,,,https://www.coupang.com/vp/products/22883321?itemId=88851479&vendorItemId=3153253315&isAddedCart=,,
아리코,3142779,Pack_주방 스테인레스 스틸 행주걸이 랙 36cm (2개입),3980,,,,https://www.coupang.com/vp/products/22883321?itemId=88851489&vendorItemId=3153253317&isAddedCart=,,
아리코,3133399,Pack_반려동물 넥가드링 커버 5호 (2개입),3900,,,,https://www.coupang.com/vp/products/22556081?itemId=87616419&vendorItemId=3149709093&isAddedCart=,,
아리코,3133400,Pack_반려동물 넥가드링 커버 6호 (2개입),3700,,,,https://www.coupang.com/vp/products/22556082?itemId=87616423&vendorItemId=3149709097&isAddedCart=,,
아리코,3142703,접이식 보온보냉 푸드커버 핑크L 1개,3440,,,,https://www.coupang.com/vp/products/22880491?itemId=88838853&vendorItemId=3153230144&isAddedCart=,,
아리코,3158217,냉온찜질 쿨앤핫 포켓 딸기 1개,2400,,,,https://www.coupang.com/vp/products/23655436?itemId=92058734&vendorItemId=3160945828&isAddedCart=,,
아리코,3158219,냉온찜질 쿨앤핫 포켓 핑크 토끼 1개,2400,,,,https://www.coupang.com/vp/products/23655439?itemId=92058737&vendorItemId=3160945826&isAddedCart=,,
아리코,3167741,주방 모던스타일 오븐장갑 화이트 체크 1개,1680,,,,https://www.coupang.com/vp/products/24100858?itemId=93841264&vendorItemId=3165991520&isAddedCart=,,
아리코,3167743,주방 모던스타일 오븐장갑 그레이 체크 1개,1680,,,,https://www.coupang.com/vp/products/24100858?itemId=93841287&vendorItemId=3165991522&isAddedCart=,,
아리코,3167745,주방 모던스타일 오븐장갑 블랙 체크 1개,1680,,,,https://www.coupang.com/vp/products/24100858?itemId=93841303&vendorItemId=3165991526&isAddedCart=,,
아리코,3167747,주방 모던스타일 오븐장갑 블랙 트라이앵글 1개,1680,,,,https://www.coupang.com/vp/products/24100858?itemId=93841308&vendorItemId=3165991530&isAddedCart=,,
아리코,3167751,주방 모던스타일 오븐장갑 그레이 에로우 1개,1680,,,,https://www.coupang.com/vp/products/24100858?itemId=93841371&vendorItemId=3165991538&isAddedCart=,,
아리코,3183696,Pack_고양이 피싱 스틸와이어 깃털스틱 3개,4300,,,,https://www.coupang.com/vp/products/24761482?itemId=96331586&vendorItemId=3173505615&isAddedCart=,,
