브랜드,SKU ID,SKU 명,등록가,공급가,url
건우코리아,12126957,GUNU 바이크 보호 커버 엘리펀트 실버 M 1장,10300,6388,https://www.coupang.com/vp/products/1749169214?itemId=2978842730&vendorItemId=70967207279
건우코리아,12122580,"GUNU 200g 고급 와플 방수 샤워커튼 180X200cm, 그레이 1개",18910,12285,https://www.coupang.com/vp/products/1747870949?itemId=2976564161&vendorItemId=70964950083
건우코리아,12122569,"GUNU 160g 고급 직물격자 방수 샤워커튼 120X180cm, 브이그리드 그레이 1개",12100,7497,https://www.coupang.com/vp/products/1747870778?itemId=2976563959&vendorItemId=70964949789
건우코리아,12122576,"GUNU 240g 린넨 고급직물 방수 샤워커튼 120X180cm, 그레이 1개",18900,11844,https://www.coupang.com/vp/products/1747870881?itemId=2976564094&vendorItemId=70964949958
건우코리아,12122602,"GUNU 240g 린넨 고급직물 방수 샤워커튼 150X180cm, 그레이 1개",22160,13734,https://www.coupang.com/vp/products/1747871424?itemId=2976564894&vendorItemId=70964950821
건우코리아,12167737,GUNU 주방 크로스 다용도 싱크대 서랍 보관함 직사각 4개 화이트,9900,6804,https://www.coupang.com/vp/products/1774922578?itemId=3022329552&vendorItemId=71010475944
건우코리아,12162863,GUNU 목욕 샤워 파이브핑거 바디스크럽 혼합색상 20개입 랜덤발송,6090,3900,https://www.coupang.com/vp/products/1771652061?itemId=3016603594&vendorItemId=71004776371
건우코리아,12184541,GUNU 다용도 이동형 에어발쿠션 1단 네이비 2개,9900,6491,https://www.coupang.com/vp/products/1786262992?itemId=3041455403&vendorItemId=71029511383
건우코리아,12203143,GUNU 주방 우드타입 롱 브러쉬 2개,8530,4950,https://www.coupang.com/vp/products/1792541086?itemId=3050167638&vendorItemId=71038182901
건우코리아,12212057,"GUNU 부종 완화 스트레칭 다용도 지압 폼롤러 33cm, 핑크, 핑크",8800,5746,https://www.coupang.com/vp/products/1491917233?itemId=2561074729&vendorItemId=71045802654
건우코리아,12220301,"GUNU 유럽스타일 침대헤드 스타일커버 150cm, 베이지 1개",11900,7300,https://www.coupang.com/vp/products/1801535560?itemId=3065230334&vendorItemId=71053173901
건우코리아,12226715,"GUNU 가스레인지 흠림방지 청소패드 사각형 10개입, 10개",14900,9387,https://www.coupang.com/vp/products/1805489044?itemId=3072056629&vendorItemId=71059969254
건우코리아,12271110,GUNU 히비스커스 장미 조화 장식 핑크&옐로우 2개,13900,8896,https://www.coupang.com/vp/products/1829988608?itemId=3112968432&vendorItemId=71100711352
건우코리아,12466217,GUNU 심플디자인 서랍식 화장품 정리함 화이트 1개,12250,9982,https://www.coupang.com/vp/products/1930247125?itemId=3276867202&vendorItemId=71263862893
건우코리아,12475040,GUNU 다용도 빨래보관 바구니 34X34X56cm S 그레이 1개,24020,15872,https://www.coupang.com/vp/products/1936908547?itemId=3287960415&vendorItemId=71274930043
건우코리아,12475043,GUNU 다용도 빨래보관 바구니 34X34X56cm S 베이지 1개,24800,15872,https://www.coupang.com/vp/products/1936908547?itemId=3287960419&vendorItemId=71274930091
건우코리아,12517047,GUNU 키높이 자동차 방석 쿠션 45X40X12cm 선인장 1개,7500,4600,https://www.coupang.com/vp/products/1951957379?itemId=3315792544&vendorItemId=71302671055
건우코리아,12521792,GUNU 2단 다용도 식기건조대 + 컵홀더 화이트 1개,18900,11718,https://www.coupang.com/vp/products/1955254424?itemId=3322454187&vendorItemId=71309317928
건우코리아,12521793,GUNU 2단 다용도 식기건조대 + 컵홀더 그린 1개,18900,11718,https://www.coupang.com/vp/products/1955254424?itemId=3322454188&vendorItemId=71309317943
건우코리아,12521796,GUNU 심플 다용도 주방 수납 정리함 A타입 L 1개,11270,7316,https://www.coupang.com/vp/products/1955254499?itemId=3322454309&vendorItemId=71309318070
건우코리아,12527204,GUNU 심플디자인 서랍식 화장품 정리함 그레이 1개,12250,12338,https://www.coupang.com/vp/products/1930247125?itemId=3324672632&vendorItemId=71311528023
건우코리아,12941413,GUNU 스테인리스 주방 선반 3단 화이트 1개,14330,9200,https://www.coupang.com/vp/products/2150117283?itemId=3651393667&vendorItemId=71636884682
건우코리아,13039041,GUNU 심플 블랙 주방 정리선반 정리대 L1개,14900,9685,https://www.coupang.com/vp/products/2202684116?itemId=3745688280&vendorItemId=71730838343
건우코리아,13169148,GUNU 요리조리 마그네틱 주방타이머 화이트 5개,8790,5000,https://www.coupang.com/vp/products/2250917374?itemId=3847900300&vendorItemId=71832699861
건우코리아,13169146,GUNU 요리조리 마그네틱 주방타이머 그린 5개,8290,5000,https://www.coupang.com/vp/products/2250917374?itemId=3847900298&vendorItemId=71832699780
건우코리아,13169147,GUNU 요리조리 마그네틱 주방타이머 블루 5개,8290,5000,https://www.coupang.com/vp/products/2250917374?itemId=3847900299&vendorItemId=71832699820
건우코리아,13169145,GUNU 요리조리 마그네틱 주방타이머 핑크 5개,8290,5000,https://www.coupang.com/vp/products/2250917374?itemId=3847900296&vendorItemId=71832699752
건우코리아,13161179,GUNU 자전거 라이딩 삼각 프레임백 블랙 1개,12400,8494,https://www.coupang.com/vp/products/2249144996?itemId=3843894750&vendorItemId=71828702073
건우코리아,13161158,GUNU 자전거 라이딩 사각 앞바구니 블랙 2개,12000,7440,https://www.coupang.com/vp/products/2249144789?itemId=3843894432&vendorItemId=71828701699
건우코리아,13533014,GUNU 다기능 코너 랙 선반 2단 화이트 1개,10610,6810,https://www.coupang.com/vp/products/4326071423?itemId=5041974126&vendorItemId=72351770534
건우코리아,15908029,GUNU 대형 접이식 빨래 바구니 블루 1개,10900,10650,https://www.coupang.com/vp/products/6530461049?itemId=8655233489&vendorItemId=75942427302
건우코리아,15908031,GUNU 대형 접이식 빨래 바구니 그레이 1개,10900,7180,https://www.coupang.com/vp/products/6530461049?itemId=8655233500&vendorItemId=75942427333
