브랜드,SKU ID,SKU 명,등록가,pid,iid,vid,url,플래그,메모
건우코리아,68890565,GUNU 고양이 오작동 예방 인덕션 버튼 안전 커버 블랙 4개,5900,,,94550636407,https://www.coupang.com/vp/products/9310312834?itemId=27587071755&vendorItemId=94550636407,건우-26신규,판매추이▲
건우코리아,68890566,GUNU 서랍 손끼임 방지 모서리 직각 안전 잠금장치 화이트 6개,5500,,,94550636406,https://www.coupang.com/vp/products/9310312829?itemId=27587071732&vendorItemId=94550636406,건우-26신규,
건우코리아,68890567,GUNU 고급형 서랍 안전 잠금장치 화이트 10개,13900,,,94550636735,https://www.coupang.com/vp/products/9310312889?itemId=27587072057&vendorItemId=94550636735,건우-26신규,
건우코리아,68890568,GUNU 접착식 고리형 냉장고 안전 잠금장치 화이트 2개,7900,,,94550636752,https://www.coupang.com/vp/products/9310312893?itemId=27587072062&vendorItemId=94550636752,건우-26신규,
건우코리아,68890569,GUNU 접착식 고리형 냉장고 안전 잠금장치 블랙 2개,7900,,,94550636751,https://www.coupang.com/vp/products/9310312893?itemId=27587072063&vendorItemId=94550636751,건우-26신규,판매추이▲
건우코리아,68890570,GUNU 접착식 고리형 냉장고 안전 잠금장치 그레이 2개,7900,,,94550636750,https://www.coupang.com/vp/products/9310312893?itemId=27587072064&vendorItemId=94550636750,건우-26신규,
건우코리아,68890571,GUNU 부착형 냉장고 자물쇠 안전 시건장치 블랙 2개,10900,,,94550636678,https://www.coupang.com/vp/products/9310312882?itemId=27587072006&vendorItemId=94550636678,건우-26신규,
건우코리아,68890572,GUNU 부착형 냉장고 자물쇠 안전 시건장치 화이트 2개,10900,,,94550636664,https://www.coupang.com/vp/products/9310312882?itemId=27587072011&vendorItemId=94550636664,건우-26신규,판매추이▲
건우코리아,68918525,GUNU 서랍 열림 방지 히든버클 안전 잠금장치 화이트 5개,6900,,,94556830950,https://www.coupang.com/vp/products/9311953677?itemId=27593365833&vendorItemId=94556830950,건우-26신규,
건우코리아,68918526,GUNU 서랍 열림 방지 히든버클 안전 잠금장치 그레이 5개,6900,,,94556830951,https://www.coupang.com/vp/products/9311953677?itemId=27593365837&vendorItemId=94556830951,건우-26신규,
